slug,url
bhavin-turakhia,https://signal.nfx.com/investors/bhavin-turakhia
bijoy-b,https://signal.nfx.com/investors/bijoy-b
bilal-junaid,https://signal.nfx.com/investors/bilal-junaid
bill-ackman,https://signal.nfx.com/investors/bill-ackman
bill-cilluffo,https://signal.nfx.com/investors/bill-cilluffo
bill-long,https://signal.nfx.com/investors/bill-long
bill-pescatello,https://signal.nfx.com/investors/bill-pescatello
bill-reichert,https://signal.nfx.com/investors/bill-reichert
bill-snider,https://signal.nfx.com/investors/bill-snider
billy-dishman,https://signal.nfx.com/investors/billy-dishman
bing-zhuo,https://signal.nfx.com/investors/bing-zhuo
blair-hendrix,https://signal.nfx.com/investors/blair-hendrix
blake-adams,https://signal.nfx.com/investors/blake-adams
blake-bartlett,https://signal.nfx.com/investors/blake-bartlett
blake-byers,https://signal.nfx.com/investors/blake-byers
blake-lyon,https://signal.nfx.com/investors/blake-lyon
blake-rogow,https://signal.nfx.com/investors/blake-rogow
blanca-sanudo,https://signal.nfx.com/investors/blanca-sanudo
bo-yang,https://signal.nfx.com/investors/bo-yang
boan-sianipar,https://signal.nfx.com/investors/boan-sianipar
boaz-albaranes_1,https://signal.nfx.com/investors/boaz-albaranes_1
bobby-guthrie-ii,https://signal.nfx.com/investors/bobby-guthrie-ii
bobby-kandaswamy,https://signal.nfx.com/investors/bobby-kandaswamy
bobby-lent,https://signal.nfx.com/investors/bobby-lent
bogdan-iordache,https://signal.nfx.com/investors/bogdan-iordache
bookyung-brandon-kim,https://signal.nfx.com/investors/bookyung-brandon-kim
bora-han,https://signal.nfx.com/investors/bora-han
boris-dyakonov,https://signal.nfx.com/investors/boris-dyakonov
borislav-nedialkov,https://signal.nfx.com/investors/borislav-nedialkov
borja-diez-de-rivera,https://signal.nfx.com/investors/borja-diez-de-rivera
brad-jones,https://signal.nfx.com/investors/brad-jones
brad-palmer,https://signal.nfx.com/investors/brad-palmer
brad-pence,https://signal.nfx.com/investors/brad-pence
braden-donayre,https://signal.nfx.com/investors/braden-donayre
brandon-goldman,https://signal.nfx.com/investors/brandon-goldman
brett-sleyster,https://signal.nfx.com/investors/brett-sleyster
brett-wong,https://signal.nfx.com/investors/brett-wong
brian-barnes,https://signal.nfx.com/investors/brian-barnes
brian-bispala,https://signal.nfx.com/investors/brian-bispala
